individual,temperature,growth
Ind01,9.148060434963554,16.14414371015959
Ind01,9.370754132978618,17.41073392787603
Ind01,2.8613953478634357,7.580247164406237
Ind01,8.304476260673255,14.181568477850849
Ind01,6.417455188930035,13.80136712707491
Ind02,5.190959491301328,12.477899071614386
Ind02,7.365883146412671,15.173228655532482
Ind02,1.346665972378105,7.263623428728815
Ind02,6.569922904018313,13.613640763413034
Ind02,7.050647840369493,13.693151950597086
Ind03,4.5774177624844015,8.77261849922576
Ind03,7.191122516524047,11.44896442820984
Ind03,9.346722471527755,16.937858798623328
Ind03,2.554288243409246,4.873659992110964
Ind03,4.622928225435317,9.063714051165622
Ind04,9.400145227555186,20.34233781619927
Ind04,9.78226428385824,19.809752194569526
Ind04,1.1748736165463924,9.258232654274108
Ind04,4.749970815610141,13.68805023879507
Ind04,5.60332746244967,14.414946549936653
Ind05,9.040313872974366,17.557031804832775
Ind05,1.3871016772463918,6.47995158000462
Ind05,9.88891728920862,18.643219068471776
Ind05,9.466682325582951,14.926943653301254
Ind05,0.824375580996275,5.241456573104833
Ind06,5.1421178434975445,13.25684236898778
Ind06,3.90203467104584,11.949182817916807
Ind06,9.05738130910322,20.078795937502775
Ind06,4.469696281012148,14.015181495293337
Ind06,8.360042599961162,17.723672086949716
Ind07,7.375956177711487,18.77615157306901
Ind07,8.11055141268298,18.911349913234183
Ind07,3.88108282815665,13.269805015390235
Ind07,6.851697294041514,17.607949183810554
Ind07,0.0394833879545331,7.1897779192563
Ind08,8.329160802531987,18.520829309169972
Ind08,0.07334146881476045,7.090032860551278
Ind08,2.0765897282399237,10.808609798299274
Ind08,9.066014077980071,19.71570480313761
Ind08,6.117786434479058,15.704057881084575
Ind09,3.7955924053676426,10.056532354918724
Ind09,4.357715849764645,11.086899761667135
Ind09,0.3743103286251426,4.8073803306634595
Ind09,9.73539913771674,17.499469658351007
Ind09,4.317512488923967,9.158635083923672
Ind10,9.575765966437757,21.886266206057503
Ind10,8.877549055032432,19.584155266676618
Ind10,6.399787694681436,15.69803201777768
Ind10,9.70966610359028,20.45351286444227
Ind10,6.188382073305547,14.098154461393733
